first_name,last_name,email,phone,company_name,job_title,location,country,age,gender,subscription_status,plan,mrr,lifetime_value,subscription_start_date,subscription_end_date,payment_status,payment_method_type,last_payment_date,next_billing_date,payment_failure_count,last_login_date,sessions_per_week,feature_usage_percentage,total_sessions,average_session_duration_minutes,last_feature_usage_date,lead_source,lifecycle_stage,sales_owner_name,deal_count,total_deal_value,last_contact_date,first_contact_date,is_subscribed,open_rate,click_rate,emails_sent,campaign_count,total_tickets,open_tickets,csat_score,average_resolution_time,first_ticket_date,last_ticket_date,external_id
Lisa,Rodriguez,lisa.rodriguez@consulting.pro,+1-555-0111,Consulting Professionals,Managing Director,Atlanta,US,39,Female,Active,Pro,429.00,17160.00,2022-01-25,2025-01-25,Active,ACH,2024-05-28,2024-06-25,0,2024-05-28,6,93.8,198,43.2,2024-05-28,Webinar,Customer,Steve Miller,4,87000,2024-05-27,2022-01-25,true,49.6,10.5,71,12,1,0,4.8,2.0,2022-02-10,2024-03-30,CONS_011
Michael,Lee,michael.lee@aerospace.aero,+1-555-0112,Aerospace Dynamics,Senior Engineer,Los Angeles,US,35,Male,Active,Enterprise,699.00,27960.00,2021-12-03,2025-12-03,Active,Credit Card,2024-05-29,2024-06-03,0,2024-05-29,7,95.4,267,47.1,2024-05-29,Industry Publication,Customer,Amy Wilson,5,112000,2024-05-28,2021-12-03,true,53.2,13.1,98,16,1,0,4.9,1.7,2021-12-20,2024-02-14,AERO_012
Nicole,Taylor,nicole.taylor@biomed.research,+1-555-0113,BioMed Research,Research Director,San Diego,US,33,Female,Active,Pro,379.00,11370.00,2022-08-16,2025-08-16,Active,Credit Card,2024-05-30,2024-08-16,0,2024-05-30,5,86.9,134,38.9,2024-05-30,Conference,Customer,David Garcia,3,58000,2024-05-29,2022-08-16,true,43.7,8.4,54,8,2,0,4.4,2.9,2022-09-05,2024-04-12,BIO_013
Anthony,White,anthony.white@transport.global,+1-555-0114,Global Transport,Fleet Operations Manager,Houston,US,44,Male,Active,Enterprise,579.00,23160.00,2021-10-22,2025-10-22,Active,ACH,2024-05-27,2024-06-22,0,2024-05-27,6,90.1,189,41.3,2024-05-27,Direct Mail,Customer,Carol Anderson,4,95000,2024-05-26,2021-10-22,true,47.3,9.8,72,14,2,0,4.6,2.3,2021-11-08,2024-03-18,TRANS_014
Stephanie,Moore,stephanie.moore@renewable.energy,+1-555-0115,Renewable Energy Corp,Sustainability Director,Portland,US,31,Female,Active,Pro,329.00,9870.00,2023-03-14,2025-03-14,Active,Credit Card,2024-05-28,2024-06-14,0,2024-05-28,4,83.6,102,36.7,2024-05-28,Social Media,Lead,Peter Jones,2,47000,2024-05-27,2023-03-14,true,40.8,7.6,38,7,3,1,4.1,3.2,2023-04-01,2024-05-10,RENEW_015
Kevin,Jackson,kevin.jackson@security.tech,+1-555-0116,Security Technologies,Chief Security Officer,Washington,US,40,Male,Active,Enterprise,749.00,29960.00,2021-05-17,2025-05-17,Active,Credit Card,2024-05-29,2024-05-17,0,2024-05-29,7,97.2,289,49.5,2024-05-29,Executive Referral,Customer,Helen Smith,6,142000,2024-05-28,2021-05-17,true,56.4,15.2,134,19,1,0,4.9,1.4,2021-06-05,2024-04-05,SEC_016
Rachel,Thomas,rachel.thomas@pharma.global,+1-555-0117,Global Pharmaceuticals,Regulatory Affairs Manager,Philadelphia,US,37,Female,Active,Pro,459.00,18360.00,2022-02-09,2025-02-09,Active,ACH,2024-05-30,2024-06-09,0,2024-05-30,5,87.7,159,42.1,2024-05-30,Medical Journal,Customer,Robert Davis,4,83000,2024-05-29,2022-02-09,true,45.9,9.3,65,10,2,0,4.7,2.5,2022-02-25,2024-01-20,PHARMA_017
Daniel,Harris,daniel.harris@automotive.parts,+1-555-0118,Automotive Parts Plus,Supply Chain Director,Cleveland,US,46,Male,Active,Enterprise,629.00,25160.00,2021-11-11,2025-11-11,Active,Credit Card,2024-05-28,2024-06-11,0,2024-05-28,6,92.5,201,44.8,2024-05-28,Trade Publication,Customer,Maria Rodriguez,5,108000,2024-05-27,2021-11-11,true,50.1,11.2,85,15,1,0,4.8,2.1,2021-12-01,2024-03-25,AUTO_018
Lauren,Clark,lauren.clark@insurance.mutual,+1-555-0119,Mutual Insurance Group,Risk Assessment Manager,Minneapolis,US,34,Female,Active,Pro,389.00,15560.00,2022-07-26,2025-07-26,Active,Credit Card,2024-05-29,2024-07-26,0,2024-05-29,5,84.3,127,39.6,2024-05-29,Insurance Conference,Customer,James Wilson,3,69000,2024-05-28,2022-07-26,true,42.1,8.1,48,9,2,0,4.5,2.7,2022-08-10,2024-02-28,INS_019
Brian,Lewis,brian.lewis@robotics.future,+1-555-0120,Future Robotics,AI Research Lead,Palo Alto,US,30,Male,Active,Enterprise,899.00,35960.00,2021-04-06,2025-04-06,Active,ACH,2024-05-30,2024-06-06,0,2024-05-30,7,98.7,312,51.3,2024-05-30,Venture Capital Referral,Customer,Sandra Thompson,7,165000,2024-05-30,2021-04-06,true,58.9,16.8,156,22,0,0,5.0,1.2,2021-04-20,2023-11-15,ROBOT_020
